item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Crayola Super Tips marker washable pack of 24		0906BDH6V4Z	0910-ST-56-8024	9.99	10	2024-09-06 09:56:09 PDT		y	1			11				B086JBQBVM						B086JBQBVM			0	DEFAULT	Migrated Template	Active
HyperX Cloud III – Wired Gaming Headset, PC, PS5, Xbox Series X|S, Angled 53mm Drivers, DTS Spatial Audio, Memory Foam, Durable Frame, Ultra-Clear 10mm Mic, USB-C, USB-A, 3.5mm – Black		0906BDFKFK3	0910-ST-727A8AA	146.02	2	2024-09-06 09:56:09 PDT		y	3			11				B0C3BSZ56D						197029008220			0	DEFAULT	Migrated Template	Active
Lenovo IdeaPad 1i 15.6" HD Laptop - Intel Pentium N5030, 4GB RAM, 128GB eMMC, Windows 11 - Cloud Grey (82V70097CF)		0906BDH1WW9	0910-ST-82V70097CF	287.49	2	2024-09-06 09:56:09 PDT		y	3			11				B0CY3BX5GB						197529223727			0	DEFAULT	Migrated Template	Active
Logitech Wireless Mouse M310 (Black)		0906BDGGD26	0910-ST-910-004277	47.49	2	2024-09-06 09:56:09 PDT		y	3			11				B00M7QSDVS						097855107084			0	DEFAULT	Migrated Template	Active
Acer Aspire 3 A315-59-56K8, 15.6" FHD 1920x1080 Laptop, Intel Core i5-1235U Processor, 8GB DDR4 RAM, 512GB SSD, Windows 11		0906BDKXPI1	0910-ST-A515-57-592A	1047.36	2	2024-09-06 11:49:08 PDT		y	1			11				B0CSPSVP7H						B0CSPSVP7H			0	DEFAULT	Domestic Standard	Active
TP-Link AXE5400 Tri-Band WiFi 6E Router (Archer AXE75) - Gigabit Wireless Internet Router, AX Router for Gaming, VPN Router, WPA3		0906BDBJNMO	0910-ST-ARCHER AXE75	289.79	2	2024-09-06 09:56:09 PDT		y	3			11				B0B6M2N6PJ						840030706370			0	DEFAULT	Migrated Template	Active
Acer SB242Y EBI 23.8" FHD 1920x1080 IPS 100Hz 1ms Ultrathin Monitor with AMD FreeSync		0906BDGGD1W	0910-ST-Acer SA242Y / SB242Y	261.44	2	2024-09-06 09:56:09 PDT		y	3			11				B0BS9RGKZZ						195133166492			0	DEFAULT	Migrated Template	Active
Bentgo® Modern - Versatile 4-Compartment Bento-Style Lunch Box for Adults and Teens, Leak-Resistant, Ideal for On-the-Go Balanced Eating - BPA-Free, Matte Finish and Ergonomic Design (Orchid)		0906BDBJ8UB	0910-ST-BGOMDN-CAO	66.24	2	2024-09-06 09:56:09 PDT		y	3			11				B08R6DR65G						817387024457			0	DEFAULT	Migrated Template	Active
Hoover CleanSlate Carpet & Upholstery Spot Cleaner, Stain Remover, Portable, FH14000V, White		0906BDI7L2M	0910-ST-FH14000	212.49	2	2024-09-06 09:56:09 PDT		y	3			11				B09P9V1N7S						073502048436			0	DEFAULT	Migrated Template	Active
Targus HyperDriveEcoSmart Gen.2 Univ USB-C 6in1		0906BDFJVX0	0910-ST-HD4002GL	122.99	2	2024-09-06 09:56:09 PDT		y	1			11				B09NBTVQ15						B09NBTVQ15			0	DEFAULT	Migrated Template	Active
Brother-Compact-Monochrome-Laser-Printer,-HLL2390DW,-Convenient-Flatbed-Copy-&-Scan,-Wireless-Printing,-Duplex-Two-Sided-Printing,-Amazon-Dash-Replenishment-Ready		0906BDBJFFM	0910-ST-HL-L2390DW	297.98	2	2024-09-06 09:56:09 PDT		y	3			11				B0764NWFP9						012502649670			0	DEFAULT	Migrated Template	Active
Kingston DataTraveler microDuo 3C 256GB USB-C & USB-A Flash Drive | Speeds up to 200 MB/s | USB 3.2 Gen 1 | Duo Connector | DTDUO3CG3/256GB		0906BDFOQQZ	0910-ST-KC-U2V256-7P	59.59	2	2024-09-06 09:56:09 PDT		y	3			11				B0B1W53H1W						740617328110			0	DEFAULT	Migrated Template	Active
Keurig K-Iced Single Serve K-Cup Pod Coffee Maker, Featuring Simple Push Blue Button Brew Over Ice, Grey		0906BDGTLK2	0910-ST-Keurig K-Iced Single	133.99	2	2024-09-06 09:56:09 PDT		y	3			11				B0BXTCQCMQ						611247399965			0	DEFAULT	Migrated Template	Active
Lexar JumpDrive TwistTurn2 USB 2.0 Flash Drive, 32GB, Assorted Colors, LJDTT2-32GABOD20		0814BNMY1Z4	0910-ST-LJDTT2-32GABNA3	40.99	5	2024-08-14 13:59:20 PDT		y	3			11				B07S5D29PG						843367111350			0	DEFAULT	Migrated Template	Active
Lexar 512GB Play microSDXC Memory Card, UHS-I, C10, U3, V30, A2, Full-HD Video, Up to 160/100 MB/s, Expanded Storage for Nintendo-Switch, Gaming Devices, Smartphones, Tablets (LMSPLAY512G-BNNNU)		0906BDBHOKN	0910-ST-LMSPLAY512G	131.24	2	2024-09-06 09:56:09 PDT		y	3			11				B08T8MBY2X						843367121878			0	DEFAULT	Migrated Template	Active
Brother MFC-J1012DW Wireless Colour Inkjet All-in-One Printer with Mobile Device and Duplex Printing, for Home Office and Personal Use, Refresh Subscription Ready		0906BDBJJS6	0910-ST-MFC-J1012DW	118.11	2	2024-09-06 09:56:09 PDT		y	3			11				B0BJ7SJMH7						012502665632			0	DEFAULT	Migrated Template	Active
Brother PT-M95 Handy Label Maker, White		0906BDGP4ZI	0910-ST-PT-M95	64.86	2	2024-09-06 09:56:09 PDT		y	3			11				B01GQHHYFE						012502645801			0	DEFAULT	Migrated Template	Active
ASUS RT-AX57 (AX3000) Dual Band WiFi 6 Extendable Router, Subscription-free Network Security, Instant Guard, Advanced Parental Controls, Built-in VPN, AiMesh Compatible, Gaming & Streaming, Smart Home		0906BDESPZO	0910-ST-RT-AX57	116.24	2	2024-09-06 09:56:09 PDT		y	3			11				B0BZJXJMDC						195553864657			0	DEFAULT	Migrated Template	Active
ASUS RT-AX57 Go - AX3000 Dual Band WiFi 6 (802.11ax) Travel Router, Support 4G/5G Mobile tethering&Public WiFi (WISP) Mode, Subscription-Free Network Security, VPN Features, AiMesh, Guest Portal		0906BDDZDS8	0910-ST-RT-AX57 Go	226.79	2	2024-09-06 09:56:09 PDT		y	1			11				B0CL4FQNG4						B0CL4FQNG4			0	DEFAULT	Migrated Template	Active
ASUS Vivobook S15 15.6" Copilot+ PC Laptop - Snapdragon X Elite AI Processor - 1TB SSD - 16GB LPDDR5X RAM - Windows 11 Home - Silver- S5507QA-SB91-CB		0906BDN4GDI	0910-ST-S5507QA-SB91-CB	2015.99	2	2024-09-06 11:50:07 PDT		y	1			11				B0D5Z14LWK						B0D5Z14LWK			0	DEFAULT	Domestic Standard	Active
Skullcandy Hesh ANC Over-Ear Noise cancelling Wireless Headphones, 22 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Mod White		0906BDG9YAH	0910-ST-S6HHW-N747	188.99	2	2024-09-06 09:56:09 PDT		y	3			11				B08G1XKY6N						810015588529			0	DEFAULT	Migrated Template	Active
Acer 21.5" 1920 x 1080 VA LED Monitor - SB222Q EBI, Black		0906BDFO0LV	0910-ST-SB222Q	131.85	2	2024-09-06 09:56:09 PDT		y	3			11				B0CGVWWQTT						195133207393			0	DEFAULT	Migrated Template	Active
Samsung Galaxy S23 FE Graphite 128GB (CAD Version & Warranty) - AI Enabled, Unlocked Android Smartphone, 8GB RAM, 128GB Storage, 6.4" AMOLED display, Nightography, 25W Fast Charging, IP68 Rating		0906BDHVJZA	0910-ST-SM-S711WZAAXAC	1087.49	2	2024-09-06 11:47:36 PDT		y	1		brand new but Amazon doesn't allow to list as New	5				B0CFYQMDNS						B0CFYQMDNS			0	DEFAULT	Domestic Standard	Active
Seagate 8TB Expansion Desktop External Drive USB3.0 3.5E (STKP8000400)		0906BDEL3L6	0910-ST-STKP8000400-ASIN	274.99	2	2024-09-06 09:56:09 PDT		y	1			11				B093BWLBYY						B093BWLBYY			0	DEFAULT	Migrated Template	Active
TP-Link Tapo 2K 4MP QHD Security Camera Outdoor Wired, Built-in Siren w/Startlight Sensor, IP66 Weatherproof, Motion/Person Detection, Works with Alexa & Google Home (Tapo C320WS)		0906BDFO9W1	0910-ST-TAPO C320WS	84.99	2	2024-09-06 09:56:09 PDT		y	3			11				B09ZZJB6VX						840030707032			0	DEFAULT	Migrated Template	Active
Targus Voyager II Travel and Commuter Business Backpack with Hideaway RainCover, Sternum & Waist Buckled Straps, Trolley Strap, Padded Shock-Absorbing Protection for 17.3-Inch Laptop, Black (TSB953GL)		0906BDBKKN3	0910-ST-TSB953GL	104.99	2	2024-09-06 09:56:09 PDT		y	3			11				B079555GY3						092636328467			0	DEFAULT	Migrated Template	Active
ASUS USB-BT500 Bluetooth 5.0 USB Adapter with Ultra Small Design, Backward Compatible with Bluetooth 2.1/3.x/4.x		0906BDF5O8I	0910-ST-USB-BT500	47.49	2	2024-09-06 09:56:09 PDT		y	3			11				B08DFBNG7F						192876476772			0	DEFAULT	Migrated Template	Active
ASUS TUF Gaming 27" 1440P HDR Curved Monitor (VG27WQ1B) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, FreeSync Premium, VESA Mountable, DisplayPort, HDMI, Black		0906BDFHDVU	0910-ST-VG27WQ1B	437.49	2	2024-09-06 09:56:09 PDT		y	3			11				B088MKHW7M						192876761786			0	DEFAULT	Migrated Template	Active
ASUS Vivobook 15 Laptop, 15.6” FHD (1920 x 1080) Display, Intel Core i5-1235U CPU, Intel Iris Xᵉ Graphics, 16GB RAM, 512GB SSD, Wi-Fi 6E, Windows 11 Home, X1504ZA-DS52-CA		0906BDERBIT	0910-ST-X1504ZA-SB51-CB	755.99	2	2024-09-06 09:56:09 PDT		y	3			11				B0CX3GQHST						197105401822			0	DEFAULT	Migrated Template	Active
Lenovo Tab M11, 11” Display, MediaTek Helio G88 Octa-Core, 4GB RAM, 64GB SSD, 1920x1200 px, Ambient Light-Sensor, 10 Hour Battery, Comes w/Pen, Luna Grey		0906BDBKPH5	0910-ST-ZADA0043US	379.56	2	2024-09-06 09:56:09 PDT		y	1			11				B0CQMPSWMJ						B0CQMPSWMJ			0	DEFAULT	Migrated Template	Active
Canon PIXMA MG2525 Photo All-in-One Inkjet Printer with Scanner and Copier		0906BDLAY5L	0912-C-0727C003	72.49	7	2024-09-06 12:13:36 PDT		y	3			11				B01LYND2WF						013803279160			0	DEFAULT	Migrated Template	Active
LG 27'' Ultragear FHD IPS 1ms 240Hz HDR Monitor with NVIDIA® G-SYNC® Compatibility		0906BDHVDBF	0912-C-27GP700-B	352.79	11	2024-09-06 11:45:48 PDT		y	3			11				B09D9217V5						195174024539			0	DEFAULT	Migrated Template	Active
LG UltraWide 34'' QHD (3440 x 1440) OLED Display with 0.03ms Response Time & 240Hz Refresh Rate		0906BDHWL0P	0912-C-34GS95QE-B	1762.74	11	2024-09-06 11:45:48 PDT		y	3			11				B0CV27X9K7						195174074633			0	DEFAULT	Migrated Template	Active
Canon PIXMA TS3420 Wireless Inkjet Printer (White)		0906BDLJICX	0912-C-4463C043AA	72.49	8	2024-09-06 12:13:36 PDT		y	3			11				B08QJP8TLY						013803336610			0	DEFAULT	Migrated Template	Active
MICROPHONE Quadcast 4p5p6aa		0906BDQK0SY	0912-C-4P5P6AA	163.79	11	2024-09-06 12:13:36 PDT		y	3			11				B0C2Z8DS49						196188049471			0	DEFAULT	Migrated Template	Active
Canon PIXMA TR4720 - All-in-One Wireless Printer for Home Use, Print, Copy, Scan, and Built-in Fax, with Auto Document Feeder, Mobile Printing, White		0906BDNABMS	0912-C-5074C003	103.74	8	2024-09-06 12:13:36 PDT		y	3			11				B09NF4NLDW						013803344509			0	DEFAULT	Migrated Template	Active
Canon PIXMA G3270 - MegaTank Ink Tank Wireless Printer, Colour All-in-One, Printer, Scanner, Copier, Mobile Friendly, Black		0906BDL8R8T	0912-C-5805C003	199.99	10	2024-09-06 12:13:36 PDT		y	3			11				B0C3NCNF3P						013803351514			0	DEFAULT	Migrated Template	Active
HP Laserjet Multi-Function M234sdw Monochrome Printer with Two-Sided Printing and Auto-Document Feeder | 6GX01F		0906BDQ0Q3K	0912-C-6GX01F#BGJ	377.99	5	2024-09-06 11:45:48 PDT		y	3			11				B08VDS4Y5H						194850889608			0	DEFAULT	Migrated Template	Active
Sennheiser ACCENTUM Wireless Bluetooth Headphones - 50-Hour Battery Life, Audio, Hybrid Noise Cancelling (ANC), All-Day Comfort and Clear Voice Pick-up for Calls, White		0906BDHWT42	0912-C-700175	188.99	11	2024-09-06 11:45:48 PDT		y	3			11				B0CHFLP687						810091270578			0	DEFAULT	Migrated Template	Active
Creative Live! Cam Sync 1080p V2 Full HD Wide-Angle USB Webcam with Auto Mute and Noise Cancellation for Video Calls, Improved Dual Built-in Mic, Privacy Lens Cap, Universal Tripod Mount		0906BDMJLCK	0912-C-73VF088000000	78.74	11	2024-09-06 11:45:48 PDT		y	3			11				B0919XGLXH						054651194694			0	DEFAULT	Migrated Template	Active
HP DeskJet 2742e All-in-One Printer		0906BDN7C75	0912-C-77A27A	91.24	10	2024-09-06 12:13:36 PDT		y	3			11				B0BW2TN4W5						197029946041			0	DEFAULT	Migrated Template	Active
HyperX Cloud III Wireless – Gaming Headset for PC, PS5, PS4, up to 120-hour Battery, 2.4GHz Wireless, DTS Spatial Audio, 53mm Angled Drivers, Memory Foam, Durable Frame, 10mm Microphone, Black/Red		0906BDOC7BX	0912-C-77Z45AA	264.59	11	2024-09-06 12:13:36 PDT		y	3			11				B0CBQXGZ85						197029611734			0	DEFAULT	Migrated Template	Active
